Название точки,Ссылка,Collection ID,Item ID,Created On,Updated On,Published On,Порядок,Адрес,Телефон,Часы работы,Фото,Разделы меню,Объявление,Показывать объявление
2-я Советская,2-sovetskaya,5fab857c5c5814132a6e57aa,5fab85aad564d8e6814ef542,Wed Nov 11 2020 06:33:14 GMT+0000 (Coordinated Universal Time),Fri Sep 01 2023 16:50:07 GMT+0000 (Coordinated Universal Time),Fri Sep 01 2023 16:50:16 GMT+0000 (Coordinated Universal Time),1,"2-я Советская, 27",+7 812 644-87-91,<p>Пн 8:00 – 20:00<br>Вт-Пт 8:00 – 22:00<br>Сб-Вс 10:00 – 22:00</p>,https://uploads-ssl.webflow.com/5fab84f6e2cd23b8dbbb10ac/64f1d3133284cc3ec0478054_2N6A7093%20(1).jpg,"<p>Завтраки, сэндвичи, супы и вторые блюда, десерты и кофе</p>",<p>‍<br></p>,false
МЕТ В.О.,met-vo,5fab857c5c5814132a6e57aa,5fab86b62f06328c55a70495,Wed Nov 11 2020 06:37:42 GMT+0000 (Coordinated Universal Time),Fri Sep 01 2023 17:09:31 GMT+0000 (Coordinated Universal Time),Fri Sep 01 2023 17:09:53 GMT+0000 (Coordinated Universal Time),2,"Большой проспект В.О., д. 16, «Василеостровский рынок»",+7 812 644-87-91,<p>Пн–Чт 8:00 – 22:00<br>Пт 8:00 – 23:00<br>Сб 10:00 – 23:00<br>Вс 10:00 – 22:00</p>,https://uploads-ssl.webflow.com/5fab84f6e2cd23b8dbbb10ac/64f21ac905c17c0a7b9c81e6_PHOTO-2022-06-14-21-03-56.jpg,<p>Десерты и кофе</p>,,false
Московский рынок,moskovskiy-rynok,5fab857c5c5814132a6e57aa,63dacabbca064375c013b144,Wed Feb 01 2023 20:25:31 GMT+0000 (Coordinated Universal Time),Fri Sep 01 2023 16:55:48 GMT+0000 (Coordinated Universal Time),Fri Sep 01 2023 17:09:53 GMT+0000 (Coordinated Universal Time),4,ул. Решетникова 12,,"<p id="""">Пн–Вс 9:00 – 22:00</p>",https://uploads-ssl.webflow.com/5fab84f6e2cd23b8dbbb10ac/64f1bfb660e6854989d5c71e_IMG_2988%20(1)%20(1).jpg,"<p id="""">Кофе и десерты</p>",,false
Нальчик,nalchik,5fab857c5c5814132a6e57aa,60f56625f9729a6060eba560,Mon Jul 19 2021 11:46:45 GMT+0000 (Coordinated Universal Time),Wed Feb 01 2023 20:24:01 GMT+0000 (Coordinated Universal Time),Wed Feb 01 2023 20:44:15 GMT+0000 (Coordinated Universal Time),5,"Нальчик, ул. Кабардинская 5",,<p>Пн–Пт 8:00 – 22:00<br>Сб–Вс 10:00 – 22:00</p>,https://uploads-ssl.webflow.com/5fab84f6e2cd23b8dbbb10ac/611072fd4f960b24569fd4fd_32.jpg,"<p>Завтраки, сэндвичи, супы и вторые блюда, десерты и кофе</p>",,false
Римского-Корсакова,rimskogo-korsakova,5fab857c5c5814132a6e57aa,5fbe3f0e0a564461cda5d74e,Wed Nov 25 2020 11:25:02 GMT+0000 (Coordinated Universal Time),Tue Nov 23 2021 09:38:53 GMT+0000 (Coordinated Universal Time),Tue Nov 23 2021 09:40:41 GMT+0000 (Coordinated Universal Time),3,"пр. Римского-Корсакова, д. 3",+7 812 644-87-91,<p>Пн 8:00 – 23:00<br>Вт-Пт 8:00 – 22:00<br>Сб-Вс 10:00 – 22:00</p>,https://uploads-ssl.webflow.com/5fab84f6e2cd23b8dbbb10ac/602afae927b0737daebf36f8_interior-1__d.jpg,"<p>Завтраки, сэндвичи, супы и вторые блюда, десерты и кофе</p>",,false
