Фольга для пачки МЕТ,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Изображение
Черная 1,chernaya-1,6365d3a718df790b0d05f9be,6365f81f5dc3eba9ceb688b7,Sat Nov 05 2022 05:43:59 GMT+0000 (Coordinated Universal Time),Sat Nov 05 2022 05:44:46 GMT+0000 (Coordinated Universal Time),Sat Nov 05 2022 05:45:01 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5fab84f6e2cd23b8dbbb10ac/6365f81cbcb4850d7b4f0c33_foil-black-01.jpg
Фиолетовая 1,fioletovaya,6365d3a718df790b0d05f9be,637c3474da709e5a56262c57,Tue Nov 22 2022 02:31:16 GMT+0000 (Coordinated Universal Time),Tue Nov 22 2022 02:36:31 GMT+0000 (Coordinated Universal Time),Tue Nov 22 2022 02:36:31 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5fab84f6e2cd23b8dbbb10ac/637c3550c31bc37e15128b0e_foil-purple-01.jpg
Красная 1,krasnaya-1,6365d3a718df790b0d05f9be,6365f808c7b7a749c9574d8f,Sat Nov 05 2022 05:43:36 GMT+0000 (Coordinated Universal Time),Tue Nov 22 2022 02:31:28 GMT+0000 (Coordinated Universal Time),Tue Nov 22 2022 02:31:48 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5fab84f6e2cd23b8dbbb10ac/6365f80718df79d81907bd05_foil-red-01.jpg
Радужная,raduzhnaya,6365d3a718df790b0d05f9be,6365d3e0a2896b0e2d7e598c,Sat Nov 05 2022 03:09:20 GMT+0000 (Coordinated Universal Time),Sat Nov 05 2022 03:09:20 GMT+0000 (Coordinated Universal Time),Sat Nov 05 2022 04:00:38 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5fab84f6e2cd23b8dbbb10ac/6365d3de76e205666ef599be_foil-iridescent-01.jpg
Серебряная 1,serebryanaya-1,6365d3a718df790b0d05f9be,6365f816e0a16f896fa703b7,Sat Nov 05 2022 05:43:50 GMT+0000 (Coordinated Universal Time),Sat Nov 05 2022 05:43:50 GMT+0000 (Coordinated Universal Time),Sat Nov 05 2022 05:45:01 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5fab84f6e2cd23b8dbbb10ac/6365f815bd8c35ccb27b0af5_foil-silver-01.jpg
Зеленая 2,zelenaya-2,6365d3a718df790b0d05f9be,6365ed728d930a1eb88e56c2,Sat Nov 05 2022 04:58:26 GMT+0000 (Coordinated Universal Time),Sat Nov 05 2022 04:58:26 GMT+0000 (Coordinated Universal Time),Sat Nov 05 2022 04:58:43 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5fab84f6e2cd23b8dbbb10ac/6365ed6edf60b9fdd9e8b4c1_foil-green-02.jpg
