Название,Ссылка,Collection ID,Item ID,Created On,Updated On,Published On,Раздел,В группе,Название группы,Описание,Цена,Веган,Доставка,2 Советская,Римского-Корсакова,ВО,Позиция в списке,Фотография,Является группой
Классический круассан,klassicheskiy-kruassan,5fab84f647b9e10c06cef6ec,5fc4d7b10c1ad4146c03a3d2,Mon Nov 30 2020 11:29:53 GMT+0000 (Coordinated Universal Time),Thu Apr 29 2021 21:25:03 GMT+0000 (Coordinated Universal Time),,deserty,false,,Приготовлен из слоеного теста на сливочном масле,100,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,3,,false
Кокосовая крем-сода,kokosovaya-krem-soda,5fab84f647b9e10c06cef6ec,608ae1f03900f7e93934fa5a,Thu Apr 29 2021 16:42:24 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:02:47 GMT+0000 (Coordinated Universal Time),,drinks,true,,,280,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,4.3,,false
Крем-суп Наполи,krem-sup-napoli,5fab84f647b9e10c06cef6ec,5fc4d5174665e456b6189949,Mon Nov 30 2020 11:18:47 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:53:33 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),supy-i-vtorye-blyuda,true,Крем-суп Наполи,"Легкий насыщенный томатный суп с карамелизированными томатами, спайси-маслом и страчателлой, подаётся с хрустящими домашними тостами (330 г)",350,false,true,2-sovetskaya,rimskogo-korsakova,,3.1,,false
Крем-суп Наполи -- сноска,krem-sup-napoli-snoska,5fab84f647b9e10c06cef6ec,5fc4d539afc1eb579fc8658d,Mon Nov 30 2020 11:19:21 GMT+0000 (Coordinated Universal Time),Sun Oct 31 2021 00:59:43 GMT+0000 (Coordinated Universal Time),Sun Oct 31 2021 01:09:13 GMT+0000 (Coordinated Universal Time),supy-i-vtorye-blyuda,true,,* можем приготовить без сыра,280,true,true,2-sovetskaya,rimskogo-korsakova,,3.2,,false
Креметники,kremetniki,5fab84f647b9e10c06cef6ec,61579b123b6b7493d9937a44,Fri Oct 01 2021 23:34:42 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:47:51 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),zavtraki,true,Креметники,Творожно-цитрусовая начинка со свежими ягодами и фруктами на слоеном тесте (280 г),400,false,true,2-sovetskaya,rimskogo-korsakova,,5.1,,false
Круассан с начинкой,kruassan-s-nachinkoy,5fab84f647b9e10c06cef6ec,5fab8a8a7f79011633ce9c45,Wed Nov 11 2020 06:54:02 GMT+0000 (Coordinated Universal Time),Thu Apr 29 2021 21:29:15 GMT+0000 (Coordinated Universal Time),,deserty,false,,Начинку можно уточнить у бариста,180,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,,,false
Круассан с начинкой,kruassan-s-nachinkoy-2,5fab84f647b9e10c06cef6ec,5fc4d7c50fa24cfd26f1fe23,Mon Nov 30 2020 11:30:13 GMT+0000 (Coordinated Universal Time),Thu Apr 29 2021 21:25:07 GMT+0000 (Coordinated Universal Time),,deserty,false,,Начинку можно уточнить у бариста,180,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,4,,false
Куриный бульон с яйцом пашот,kurinyy-bulon-s-yaycom-pashot,5fab84f647b9e10c06cef6ec,61579eb20d59300f98eba15d,Fri Oct 01 2021 23:50:10 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:53:13 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),supy-i-vtorye-blyuda,true,Куриный бульон с яйцом пашот,"Куриный бульон с куриной грудкой sous vide, яйцом пашот и пастой птитим, подается с хрустящими домашними тостами (400 г)",350,false,false,2-sovetskaya,rimskogo-korsakova,,1.1,,false
Латте,latte,5fab84f647b9e10c06cef6ec,5fbe43017e4363f6d349c515,Wed Nov 25 2020 11:41:53 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 00:22:14 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 00:28:01 GMT+0000 (Coordinated Universal Time),drinks,true,,,200,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,1.3,,false
Латте лесной орех,latte-lesnoy-oreh,5fab84f647b9e10c06cef6ec,61579510b834585e42d33880,Fri Oct 01 2021 23:09:04 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:30:28 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:31:22 GMT+0000 (Coordinated Universal Time),drinks,true,Безумный согревающий,,280,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,4.1,,false
Латте: миндаль/кокос/овсяное,latte-mindal-kokos-ovsyanoye,5fab84f647b9e10c06cef6ec,5fbe43679bcde55455b7dd40,Wed Nov 25 2020 11:43:35 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:34:24 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),drinks,true,,,280/350,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,1.6,,false
Латте шалфей,latte-shalfei,5fab84f647b9e10c06cef6ec,5fc4b65e225b7ff8d929d045,Mon Nov 30 2020 09:07:42 GMT+0000 (Coordinated Universal Time),Thu Apr 29 2021 16:31:05 GMT+0000 (Coordinated Universal Time),,drinks,true,,,250,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,4.4,,false
Лимонад Fritz-Kola в ассортименте,limonad-fritz-kola-v-assortimente,5fab84f647b9e10c06cef6ec,5fc4b1d09b75575b88939751,Mon Nov 30 2020 08:48:16 GMT+0000 (Coordinated Universal Time),Sun Oct 31 2021 00:31:34 GMT+0000 (Coordinated Universal Time),Sun Oct 31 2021 01:09:13 GMT+0000 (Coordinated Universal Time),drinks,true,,,330,true,true,2-sovetskaya,rimskogo-korsakova,met-vo,3.9,,false
Лимонад Гибискус,limonad-gibiskus,5fab84f647b9e10c06cef6ec,608ae2127b5b7bd2968fba1d,Thu Apr 29 2021 16:42:58 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:02:57 GMT+0000 (Coordinated Universal Time),,drinks,true,,,250,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,4.4,,false
Маття Fizz,mattya-fizz,5fab84f647b9e10c06cef6ec,608ae2309d4a09889d603e42,Thu Apr 29 2021 16:43:28 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:03:07 GMT+0000 (Coordinated Universal Time),,drinks,true,,,280,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,4.5,,false
Маття какао,mattya-kakao,5fab84f647b9e10c06cef6ec,6157957a4a67c00a0167a0fc,Fri Oct 01 2021 23:10:50 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:29:19 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:30:00 GMT+0000 (Coordinated Universal Time),drinks,true,,,280,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,4.4,,false
Маття кокос,mattya-kokos,5fab84f647b9e10c06cef6ec,5fc4b1a94665e454fe188ed0,Mon Nov 30 2020 08:47:37 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:35:28 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),drinks,true,,,300,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,3.8,,false
Маття на безлактозном молоке,mattya-na-bezlaktoznom-moloke,5fab84f647b9e10c06cef6ec,615797122ea0e11126de2354,Fri Oct 01 2021 23:17:38 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:35:01 GMT+0000 (Coordinated Universal Time),,drinks,true,,,280,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,5.1,,false
Мексиканская похлебка,meksikanskaya-pohlebka,5fab84f647b9e10c06cef6ec,5fc4d4f94665e431f3189948,Mon Nov 30 2020 11:18:17 GMT+0000 (Coordinated Universal Time),Thu Apr 29 2021 21:09:51 GMT+0000 (Coordinated Universal Time),,supy-i-vtorye-blyuda,false,,Яркий согревающий суп в мексиканском стиле с красной фасолью и сочной говядиной,260,false,false,2-sovetskaya,rimskogo-korsakova,,1,,false
Меренговый десерт,merengovyy-desert,5fab84f647b9e10c06cef6ec,61579fe98b841c655af3e732,Fri Oct 01 2021 23:55:21 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:56:32 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),deserty,true,Меренговый десерт,"Воздушная меренга со сливочным кремом, соусом из ежевики и миксом из свежих ягод (100 г)",220,false,false,2-sovetskaya,rimskogo-korsakova,,7,,false
Миндальное пирожное,mindalnoe-pirozhnoe,5fab84f647b9e10c06cef6ec,608b2263ca0c0481bd48e262,Thu Apr 29 2021 21:17:23 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:55:54 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),deserty,false,,"Миндально-фундучные коржи с заварным кремом, покрытые глазурью из молочного шоколада с миндальной крошкой (130 г)",250,false,true,2-sovetskaya,rimskogo-korsakova,met-vo,4,,false
----- Модный чёрный,modnyy-chyornyy,5fab84f647b9e10c06cef6ec,5fd14508d243fab9b9b566b6,Wed Dec 09 2020 21:43:36 GMT+0000 (Coordinated Universal Time),Wed Dec 09 2020 21:52:44 GMT+0000 (Coordinated Universal Time),Wed Dec 09 2020 21:53:12 GMT+0000 (Coordinated Universal Time),,false,Модный чёрный,,,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,2,,true
Можжевеловый кекс,mozhzhevelovyy-keks,5fab84f647b9e10c06cef6ec,5fc4d76fef827350bb4a798e,Mon Nov 30 2020 11:28:47 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:54:41 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),deserty,false,,С шалфеем и соленой карамелью (140 г),220,false,true,2-sovetskaya,rimskogo-korsakova,met-vo,1,,false
Мятное Ice Какао,myatnoe-ice-kakao,5fab84f647b9e10c06cef6ec,608ae25a0cbb5a83ba0a5b79,Thu Apr 29 2021 16:44:10 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:03:17 GMT+0000 (Coordinated Universal Time),,drinks,true,,,250,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,4.6,,false
------ Не кофе,ne-kofe,5fab84f647b9e10c06cef6ec,5fd1452deb05493228f6ee78,Wed Dec 09 2020 21:44:13 GMT+0000 (Coordinated Universal Time),Wed Dec 09 2020 21:52:54 GMT+0000 (Coordinated Universal Time),Wed Dec 09 2020 21:53:12 GMT+0000 (Coordinated Universal Time),,false,Не кофе,,,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,3,,true
Овсянка с орехами,ovsyanka-s-orehami,5fab84f647b9e10c06cef6ec,5fab9841b17921bcbf01e701,Wed Nov 11 2020 07:52:33 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:46:27 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),zavtraki,true,,"Овсяные хлопья на молоке, с финиковым соусом и запеченным крамблом из грецкого ореха* (360 г)",250,false,true,2-sovetskaya,rimskogo-korsakova,,1.2,,false
Овсянка с вареньем,ovsyanka-s-vareniem,5fab84f647b9e10c06cef6ec,5fab982a09ce9ce131030afc,Wed Nov 11 2020 07:52:10 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:46:32 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),zavtraki,true,Овсянка,"Овсяные хлопья на молоке, с домашним вареньем из вишни и миндальными лепестками* (350 г)",250,false,true,2-sovetskaya,rimskogo-korsakova,,1.1,,false
Овсянка -- сноска,ovsyanka-snoska,5fab84f647b9e10c06cef6ec,5fc4bf47c189873884f12668,Mon Nov 30 2020 09:45:43 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:46:15 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),zavtraki,true,,* Можем приготовить на растительном молоке,300,true,true,2-sovetskaya,rimskogo-korsakova,,1.3,,false
Печенье с клюквой,pechenie,5fab84f647b9e10c06cef6ec,5fab8b75eb2efda3bb0b3575,Wed Nov 11 2020 06:57:57 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:56:50 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),deserty,true,Печенье,Печенье с клюквой и белым шоколадом (60 г),120,false,true,2-sovetskaya,rimskogo-korsakova,met-vo,8.1,,false
Печенье с пеканом,pechenie-s-pekanom,5fab84f647b9e10c06cef6ec,5fab92282eab7b1839ca053b,Wed Nov 11 2020 07:26:32 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:56:46 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),deserty,true,,Печенье с пеканом и кокосом (60 г),120,false,true,2-sovetskaya,rimskogo-korsakova,met-vo,8.2,,false
Печенье шоколадное,pechenie-shokoladnoe,5fab84f647b9e10c06cef6ec,5fab92388cd0d12eec78c961,Wed Nov 11 2020 07:26:48 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:56:41 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),deserty,true,,Печенье шоколадное (70 г),120,false,true,2-sovetskaya,rimskogo-korsakova,met-vo,8.3,,false
Поке-боул с лососем,poke-boul-s-lososem,5fab84f647b9e10c06cef6ec,5fc4d5891e108e2c2bef11ee,Mon Nov 30 2020 11:20:41 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:54:06 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),supy-i-vtorye-blyuda,false,,"Свежий огурец, авокадо и лосось собственного посола в соусе из водорослей чука с кунжутом и эмульсией манго (360 г)",450,false,false,2-sovetskaya,rimskogo-korsakova,,6,,false
Пряный гибискус,pryanyy-gibiskus,5fab84f647b9e10c06cef6ec,615795588d3ceb37a65c4ebd,Fri Oct 01 2021 23:10:16 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:29:15 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:30:00 GMT+0000 (Coordinated Universal Time),drinks,true,,,250,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,4.3,,false
Пряный сэндвич с овощами,pryanyy-sendvich-s-ovoshchami,5fab84f647b9e10c06cef6ec,5fc4d4683f9d3505ea4b0f1b,Mon Nov 30 2020 11:15:52 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:51:38 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),sendvichi,false,,Запеченные с травами сезонные овощи с кешью соусом в хрустящем домашнем багете (250 г),350,true,true,2-sovetskaya,rimskogo-korsakova,,2,,false
Раф Cookie,raf-cookie,5fab84f647b9e10c06cef6ec,5fc4b61d0c1ad41e000393d7,Mon Nov 30 2020 09:06:37 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:29:07 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:30:00 GMT+0000 (Coordinated Universal Time),drinks,true,,,280,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,4.2,,false
Раф классический,raf-klassicheskiy,5fab84f647b9e10c06cef6ec,5fbe4343b98f15daae2a9d39,Wed Nov 25 2020 11:42:59 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 00:22:48 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 00:28:01 GMT+0000 (Coordinated Universal Time),drinks,true,,,250,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,1.5,,false
Разный чай,raznyi-chay,5fab84f647b9e10c06cef6ec,5fc4b0dadc62ab764ec41c85,Mon Nov 30 2020 08:44:10 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 00:24:03 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 00:28:01 GMT+0000 (Coordinated Universal Time),drinks,true,,,200,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,3.4,,false
Разный Ice Латте: соя/миндаль/кокос,raznyy-ice-latte-soya-mindal-kokos,5fab84f647b9e10c06cef6ec,608ae291e5705d47ebb76a3a,Thu Apr 29 2021 16:45:05 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:03:21 GMT+0000 (Coordinated Universal Time),,drinks,true,,,280,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,4.7,,false
Рисовая каша с кокосовым пломбиром,risovaya-kasha-s-kokosovym-plombirom,5fab84f647b9e10c06cef6ec,61579793dbb47a721231e66e,Fri Oct 01 2021 23:19:47 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:46:45 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),zavtraki,true,Рисовая каша с кокосовым пломбиром,"Рисовая каша на кокосовом молоке, с маринованным ананасом и пломбиром на основе кокоса и ванили* (340 г)",280,false,false,2-sovetskaya,rimskogo-korsakova,,2.1,,false
Рисовая каша с кокосовым пломбиром -- сноска,risovaya-kasha-s-kokosovym-plombirom-snoska,5fab84f647b9e10c06cef6ec,615797dd4c057c0975dd7625,Fri Oct 01 2021 23:21:01 GMT+0000 (Coordinated Universal Time),Tue Nov 23 2021 09:44:55 GMT+0000 (Coordinated Universal Time),Tue Nov 23 2021 09:44:55 GMT+0000 (Coordinated Universal Time),zavtraki,true,,* Можем приготовить без пломбира,,true,false,2-sovetskaya,rimskogo-korsakova,,2.2,,false
Ризотто с белыми грибами,rizotto-s-belymi-gribami,5fab84f647b9e10c06cef6ec,608b21022ea60c40e2a78385,Thu Apr 29 2021 21:11:30 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:53:39 GMT+0000 (Coordinated Universal Time),,supy-i-vtorye-blyuda,false,,"Ризотто с белыми грибами, сливочным сыром маскарпоне и вешенками в авторском исполнении (350 г)",400,false,false,2-sovetskaya,rimskogo-korsakova,,4,,false
Салат с курицей,salat-s-kuricey,5fab84f647b9e10c06cef6ec,5fc4d73ce6be6c2a712a469a,Mon Nov 30 2020 11:27:56 GMT+0000 (Coordinated Universal Time),Thu Apr 29 2021 21:25:41 GMT+0000 (Coordinated Universal Time),,supy-i-vtorye-blyuda,false,,Салат со свежими овощами и нежным куриным бедром под горчичным соусом,300,false,false,2-sovetskaya,rimskogo-korsakova,,6,,false
Салат с сыром Камамбер и имбирной заправкой,salat-s-syrom-kamamber-i-imbirnoy-zapravkoy,5fab84f647b9e10c06cef6ec,608b21a927466052eed6a4e0,Thu Apr 29 2021 21:14:17 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:48:50 GMT+0000 (Coordinated Universal Time),,supy-i-vtorye-blyuda,false,,"Салатный микс из лолло россо и рукколы, карамелизированные абрикосы, сыр Камамбер и печеный фундук, заправленные имбирно-цитрусовым соусом (170 г)",350,false,false,2-sovetskaya,rimskogo-korsakova,,350,,false
Какао Indian Summer,sasao-indian-summer,5fab84f647b9e10c06cef6ec,5fc4b643b4c949e0e4406a16,Mon Nov 30 2020 09:07:15 GMT+0000 (Coordinated Universal Time),Thu Apr 29 2021 16:30:54 GMT+0000 (Coordinated Universal Time),,drinks,true,,,280,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,4.3,,false
Сбитень Black,sbiten-black,5fab84f647b9e10c06cef6ec,5fc4b39a51db5af44cd9fb91,Mon Nov 30 2020 08:55:54 GMT+0000 (Coordinated Universal Time),Thu Apr 29 2021 16:30:34 GMT+0000 (Coordinated Universal Time),,drinks,true,Безумный согревающий,,280,false,false,2-sovetskaya,,met-vo,4.1,,false
Сэндвич с индейкой,sendvich-s-indeykoy,5fab84f647b9e10c06cef6ec,5fc4d478387fc8547e5c22e6,Mon Nov 30 2020 11:16:08 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:51:51 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),sendvichi,false,,Сочная поджаренная индейка с соусом из зерновой горчицы с корнишонами в хрустящем домашнем багете (320 г),390,false,true,2-sovetskaya,rimskogo-korsakova,,3,,false
Сэндвич с лососем и соусом Хандаши,sendvich-s-lososem-i-sousom-handashi,5fab84f647b9e10c06cef6ec,608b1f8bb0094a834a364e1b,Thu Apr 29 2021 21:05:15 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:52:59 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),sendvichi,false,,"Сэндвич с малосольным лососем шеф-посола, свежей рукколой и творожным сыром под соусом Хандаши в хрустящем домашнем хлебе (270 г), с 10 утра",450,false,false,2-sovetskaya,rimskogo-korsakova,,5.4,,false
"Сэндвич с ветчиной, сыром и горчичным соусом",sendvich-s-vetchinoy-syrom-i-gorchichnym-sousom,5fab84f647b9e10c06cef6ec,608b1f75e7bc4cc09898a2c4,Thu Apr 29 2021 21:04:53 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:52:46 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),sendvichi,false,,"Сэндвич с ветчиной, сыром, томатами и яйцом под горчичным соусом в хрустящем домашнем хлебе (290 г), с 10 утра",350,false,false,2-sovetskaya,rimskogo-korsakova,,5.3,,false
----- Штатный кофе,shtatnyy-kofe,5fab84f647b9e10c06cef6ec,5fd14329164e8ec62f282507,Wed Dec 09 2020 21:35:37 GMT+0000 (Coordinated Universal Time),Wed Dec 09 2020 21:52:36 GMT+0000 (Coordinated Universal Time),Wed Dec 09 2020 21:53:12 GMT+0000 (Coordinated Universal Time),,false,Штатный кофе,,,false,false,2-sovetskaya,rimskogo-korsakova,met-vo,,,true
Сливочный крем-суп из корня сельдерея,slivochnyy-krem-sup-iz-kornya-seldereya,5fab84f647b9e10c06cef6ec,608b20408213362c012f01c3,Thu Apr 29 2021 21:08:16 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:48:29 GMT+0000 (Coordinated Universal Time),,supy-i-vtorye-blyuda,false,,"Нежный крем из томленого сельдерея с пряным фундуком и копченым маслом, подается с хрустящими домашними тостами (320 г)",280,false,false,2-sovetskaya,rimskogo-korsakova,,2,,false
Смузи-боул тропический,smuzi-boul-tropicheskiy,5fab84f647b9e10c06cef6ec,61579c179c0b9b7492d6237b,Fri Oct 01 2021 23:39:03 GMT+0000 (Coordinated Universal Time),Sun Oct 31 2021 00:34:20 GMT+0000 (Coordinated Universal Time),Sun Oct 31 2021 01:09:13 GMT+0000 (Coordinated Universal Time),zavtraki,true,Смузи-боул тропический,"Смузи из тропических фруктов на банановом молоке, подается с миндалем и свежим манго (250 г)",350,true,true,2-sovetskaya,rimskogo-korsakova,,9,,false
Смузи-боул ягодный,smuzi-boul-yagodnyy,5fab84f647b9e10c06cef6ec,61579bf24a67c0b29167cb72,Fri Oct 01 2021 23:38:26 GMT+0000 (Coordinated Universal Time),Sun Oct 31 2021 00:34:14 GMT+0000 (Coordinated Universal Time),Sun Oct 31 2021 01:09:13 GMT+0000 (Coordinated Universal Time),zavtraki,true,Смузи-боул ягодный,"Смузи из лесных ягод на кокосовом молоке, подается со свежими ягодами и шоколадной гранолой (260 г)",350,false,true,2-sovetskaya,rimskogo-korsakova,,8.1,,false
Стакан молока,stakan-moloka,5fab84f647b9e10c06cef6ec,5fc4b0fcf2b5f148c4d032fe,Mon Nov 30 2020 08:44:44 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 00:24:27 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 00:28:01 GMT+0000 (Coordinated Universal Time),drinks,true,,,90,,false,2-sovetskaya,rimskogo-korsakova,met-vo,3.4,,false
Стакан молока: соя/миндаль/кокос,stakan-moloka-soya-mindal-kokos,5fab84f647b9e10c06cef6ec,5fc4b116f2b5f1f3c2d03300,Mon Nov 30 2020 08:45:10 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 00:24:41 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 00:28:01 GMT+0000 (Coordinated Universal Time),drinks,true,,,150,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,3.6,,false
Стейк-сэндвич,steyk-sendvich,5fab84f647b9e10c06cef6ec,5fc4d49cc18987943bf128f7,Mon Nov 30 2020 11:16:44 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:52:01 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),sendvichi,false,,Открытый сэндвич с сочным стейком из говяжьей вырезки со сливочным сыром (260 г),480,false,false,2-sovetskaya,rimskogo-korsakova,,4,,false
Страчателла с томатами и пряной сливой ,strachatella-s-tomatami-i-pryanoy-slivoy,5fab84f647b9e10c06cef6ec,61579f2840656a2e35d87f5a,Fri Oct 01 2021 23:52:08 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:54:30 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),supy-i-vtorye-blyuda,true,Страчателла с томатами и пряной сливой ,"Томаты на подушке из соуса песто и сыра страчателла, подается с маринованной сливой и вареньем из черри (260 г)",400,false,false,2-sovetskaya,rimskogo-korsakova,,8,,false
Суп из печеных перцев,sup-iz-pechenyh-percev,5fab84f647b9e10c06cef6ec,61579ef3d9fa36bf04a7fcc9,Fri Oct 01 2021 23:51:15 GMT+0000 (Coordinated Universal Time),Sat Mar 05 2022 12:10:55 GMT+0000 (Coordinated Universal Time),Sat Mar 05 2022 12:12:21 GMT+0000 (Coordinated Universal Time),supy-i-vtorye-blyuda,true,Суп из печеных перцев,"Крем-суп из запеченных перцев с фрикадельками и копченым творогом, подается с хрустящими домашними тостами (320 г)",350,false,true,2-sovetskaya,rimskogo-korsakova,,2.1,,false
Сырники из рикотты,syrniki-iz-rikotty,5fab84f647b9e10c06cef6ec,5fc4bf848f677a05ff5303ef,Mon Nov 30 2020 09:46:44 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:47:00 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),zavtraki,true,Сырники из рикотты,С лаймовым соусом и сливочным кремом (240 г),420,false,true,2-sovetskaya,rimskogo-korsakova,,3.1,,false
Сырники из рикотты с лесными ягодами,syrniki-iz-rikotty-s-lesnymi-yagodami,5fab84f647b9e10c06cef6ec,5fc4bfa3dc55a34893e01597,Mon Nov 30 2020 09:47:15 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:46:56 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),zavtraki,true,,С соусом из лесных ягод с тимьяном и сливочным кремом (240 г),420,false,true,2-sovetskaya,rimskogo-korsakova,,3.2,,false
