Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,2-я Советская,МЕТ В.О.,Римского-Корсакова
Десерты,deserty,5fd1490129c3a92460f7273b,5fd1496bf482f7e32b3cbba1,Wed Dec 09 2020 22:02:19 GMT+0000 (Coordinated Universal Time),Wed Dec 09 2020 22:02:19 GMT+0000 (Coordinated Universal Time),Wed Dec 09 2020 22:23:32 GMT+0000 (Coordinated Universal Time),2-sovetskaya,met-vo,rimskogo-korsakova
Напитки,drinks,5fd1490129c3a92460f7273b,5fd14918f482f753f33cbba0,Wed Dec 09 2020 22:00:56 GMT+0000 (Coordinated Universal Time),Wed Mar 03 2021 05:42:06 GMT+0000 (Coordinated Universal Time),Wed Mar 03 2021 05:42:17 GMT+0000 (Coordinated Universal Time),2-sovetskaya,met-vo,rimskogo-korsakova
Сэндвичи,sendvichi,5fd1490129c3a92460f7273b,5fd14950267a964c0fbb68ec,Wed Dec 09 2020 22:01:52 GMT+0000 (Coordinated Universal Time),Wed Dec 09 2020 22:01:52 GMT+0000 (Coordinated Universal Time),Wed Dec 09 2020 22:23:32 GMT+0000 (Coordinated Universal Time),2-sovetskaya,,rimskogo-korsakova
Супы и вторые блюда,supy-i-vtorye-blyuda,5fd1490129c3a92460f7273b,5fd1495e1ea035c0561a09bb,Wed Dec 09 2020 22:02:06 GMT+0000 (Coordinated Universal Time),Wed Dec 09 2020 22:02:06 GMT+0000 (Coordinated Universal Time),Wed Dec 09 2020 22:23:32 GMT+0000 (Coordinated Universal Time),2-sovetskaya,,rimskogo-korsakova
Завтраки,zavtraki,5fd1490129c3a92460f7273b,5fd1492f19b8665fa025d5f5,Wed Dec 09 2020 22:01:19 GMT+0000 (Coordinated Universal Time),Wed Dec 09 2020 22:01:19 GMT+0000 (Coordinated Universal Time),Wed Dec 09 2020 22:23:32 GMT+0000 (Coordinated Universal Time),2-sovetskaya,met-vo,rimskogo-korsakova
